throttle, rudder, surge, sway, yaw
1.0, -1.0, 4.67072625619e-07, -8.71410474151e-08, -0.184447951328
1.0, -1.0, 3.76856159354e-07, -1.54252004904e-07, -0.388508681392
1.0, -1.0, 3.38826332692e-07, -1.40344210492e-07, 5.89049189811
1.0, -1.0, 3.50075129048e-07, -1.45005863152e-07, -0.39269907402
1.0, -1.0, 3.98180231444e-07, -1.64931652128e-07, -0.392699081688
1.0, -1.0, 4.43922001057e-07, -1.83878513473e-07, -0.392699081699
1.0, -1.0, 4.58902098857e-07, -1.90083473148e-07, -0.392699081699
1.0, -1.0, 4.35268289726e-07, -1.80294028875e-07, -0.392699081699
1.0, -1.0, 3.85702634033e-07, -1.5976326206e-07, -0.392699081699
1.0, -1.0, 3.42909066194e-07, -1.42037585878e-07, -0.392699081699
1.0, -1.0, 3.43794135949e-07, -1.42404193774e-07, -0.392699081699
1.0, -1.0, 3.87499036922e-07, -1.605073565e-07, -0.392699081699
1.0, -1.0, 4.36618871932e-07, -1.80853458342e-07, -0.392699081699
1.0, -1.0, 4.59037856081e-07, -1.90139705631e-07, -0.392699081699
1.0, -1.0, 4.42774481466e-07, -1.83403195296e-07, -0.392699081699
1.0, -1.0, 3.96376829068e-07, -1.6418465841e-07, -0.392699081699
1.0, -1.0, 3.48894877924e-07, -1.44516990279e-07, -0.392699081699
1.0, -1.0, 3.39366691556e-07, -1.4057028626e-07, 5.89048622548
1.0, -1.0, 3.76996282329e-07, -1.56156973105e-07, -0.392699081699
1.0, -1.0, 4.28180707679e-07, -1.77358256267e-07, -0.392699081699
1.0, -1.0, 4.57563166295e-07, -1.89528869122e-07, -0.392699081699
1.0, -1.0, 4.49008909981e-07, -1.85985580141e-07, -0.392699081699
1.0, -1.0, 4.06956984619e-07, -1.68567102332e-07, -0.392699081699
1.0, -1.0, 3.56503564844e-07, -1.47668611593e-07, -0.392699081699
1.0, -1.0, 3.37002151736e-07, -1.39590861798e-07, -0.392699081699
1.0, -1.0, 3.67019006468e-07, -1.52024250128e-07, -0.392699081699
1.0, -1.0, 4.18801377923e-07, -1.73473210676e-07, -0.392699081699
1.0, -1.0, 4.54504410187e-07, -1.88261890858e-07, -0.392699081699
1.0, -1.0, 4.5383529459e-07, -1.87984734103e-07, -0.392699081699
1.0, -1.0, 4.17139611471e-07, -1.72784884474e-07, -0.392699081699
1.0, -1.0, 3.65410578186e-07, -1.51358017319e-07, -0.392699081699
1.0, -1.0, 3.36816131887e-07, -1.39513809854e-07, 5.89048622548
1.0, -1.0, 3.57926977834e-07, -1.48258208558e-07, -0.392699081699
1.0, -1.0, 4.08713438225e-07, -1.69294649237e-07, -0.392699081699
1.0, -1.0, 4.49926546621e-07, -1.86365677682e-07, -0.392699081699
1.0, -1.0, 4.57156239277e-07, -1.89360314432e-07, -0.392699081699
1.0, -1.0, 4.26655952235e-07, -1.76726681883e-07, -0.392699081699
1.0, -1.0, 3.75263619122e-07, -1.55439280506e-07, -0.392699081699
1.0, -1.0, 3.38817842542e-07, -1.40342945555e-07, -0.392699081699
1.0, -1.0, 3.50075026042e-07, -1.45005823635e-07, -0.392699081699
1.0, -1.0, 3.98179936955e-07, -1.64931530152e-07, -0.392699081699
1.0, -1.0, 4.4392134467e-07, -1.83878241589e-07, -0.392699081699
1.0, -1.0, 4.58901308733e-07, -1.90083145868e-07, -0.392699081699
1.0, -1.0, 4.3526771443e-07, -1.8029379058e-07, -0.392699081699
1.0, -1.0, 3.85702427125e-07, -1.59763176355e-07, -0.392699081699
1.0, -1.0, 3.42909054797e-07, -1.42037581158e-07, -0.392699081699
1.0, -1.0, 3.437941498e-07, -1.42404199512e-07, -0.392699081699
1.0, -1.0, 3.87499260093e-07, -1.6050744894e-07, -0.392699081699
1.0, -1.0, 4.3661946481e-07, -1.8085370392e-07, -0.392699081699
1.0, -1.0, 4.59038648133e-07, -1.9014003371e-07, -0.392699081699
1.0, -1.0, 4.42775122111e-07, -1.8340346066e-07, -0.392699081699
1.0, -1.0, 3.96377104954e-07, -1.64184772686e-07, -0.392699081699
1.0, -1.0, 3.48894905851e-07, -1.44517001846e-07, -0.392699081699
1.0, -1.0, 3.39366688282e-07, -1.40570284904e-07, -0.392699081699
1.0, -1.0, 3.76996122695e-07, -1.56156906982e-07, -0.392699081699
1.0, -1.0, 4.28180185387e-07, -1.77358039927e-07, -0.392699081699
1.0, -1.0, 4.57562387475e-07, -1.89528546524e-07, -0.392699081699
1.0, -1.0, 4.49008213167e-07, -1.85985291511e-07, -0.392699081699
1.0, -1.0, 4.0695663399e-07, -1.68566957097e-07, -0.392699081699
1.0, -1.0, 3.5650350905e-07, -1.47668588482e-07, -0.392699081699
1.0, 0.0, 3.70194481795e-07, -8.29725380328e-08, 6.06269691423
1.0, 0.0, 3.8928976743e-07, -1.84701208392e-09, -0.00474453319689
1.0, 0.0, 3.89448236643e-07, -2.50133437804e-12, -6.42276467744e-06
1.0, 0.0, 3.89448840879e-07, -3.38610904165e-15, -8.69461835862e-09
1.0, 0.0, 3.89448842996e-07, -4.58352166758e-18, -1.17692522394e-11
1.0, 0.0, 3.8944884231e-07, -5.88030097439e-21, -1.50990331349e-14
1.0, 0.0, 3.89448842048e-07, 0.0, 0.0
1.0, 0.0, 3.8944884092e-07, 0.0, 0.0
1.0, 0.0, 3.8944884075e-07, 0.0, 0.0
1.0, 0.0, 3.89448839843e-07, 0.0, 0.0
1.0, 0.0, 3.89448838807e-07, 0.0, 0.0
1.0, 0.0, 3.89448838895e-07, 0.0, 0.0
1.0, 0.0, 3.8944883808e-07, 0.0, 0.0
1.0, 0.0, 3.89448837154e-07, 0.0, 0.0
1.0, 0.0, 3.89448836579e-07, 0.0, 0.0
1.0, 0.0, 3.89448836299e-07, 0.0, 0.0
1.0, 0.0, 3.89448835613e-07, 0.0, 0.0
1.0, 0.0, 3.89448835019e-07, 0.0, 0.0
1.0, 0.0, 3.89448834444e-07, 0.0, 0.0
1.0, 0.0, 3.89448833961e-07, 0.0, 0.0
1.0, 0.0, 3.89448833478e-07, 0.0, 0.0
1.0, 0.0, 3.8944883246e-07, 0.0, 0.0
1.0, 0.0, 3.89448831848e-07, 0.0, 0.0
1.0, 0.0, 3.8944883118e-07, 0.0, 0.0
1.0, 0.0, 3.8944883101e-07, 0.0, 0.0
1.0, 0.0, 3.89448830011e-07, 0.0, 0.0
1.0, 0.0, 3.89448829399e-07, 0.0, 0.0
1.0, 0.0, 3.89448828823e-07, 0.0, 0.0
1.0, 0.0, 3.89448828451e-07, 0.0, 0.0
1.0, 0.0, 3.89448827415e-07, 0.0, 0.0
1.0, 0.0, 3.89448827393e-07, 0.0, 0.0
1.0, 0.0, 3.89448826467e-07, 0.0, 0.0
1.0, 0.0, 3.89448825449e-07, 0.0, 0.0
1.0, 0.0, 3.89448825169e-07, 0.0, 0.0
1.0, 0.0, 3.89448824483e-07, 0.0, 0.0
1.0, 0.0, 3.89448824332e-07, 0.0, 0.0
1.0, 0.0, 3.89448823406e-07, 0.0, 0.0
1.0, 0.0, 3.8944882272e-07, 0.0, 0.0
1.0, 0.0, 3.89448822569e-07, 0.0, 0.0
1.0, 0.0, 3.89448821551e-07, 0.0, 0.0
1.0, 0.0, 3.89448820939e-07, 0.0, 0.0
1.0, 0.0, 3.89448820474e-07, 0.0, 0.0
1.0, 0.0, 3.89448820212e-07, 0.0, 0.0
1.0, 0.0, 3.89448819416e-07, 0.0, 0.0
1.0, 0.0, 3.89448818711e-07, 0.0, 0.0
1.0, 0.0, 3.89448818007e-07, 0.0, 0.0
1.0, 0.0, 3.89448817653e-07, 0.0, 0.0
1.0, 0.0, 3.89448816819e-07, 0.0, 0.0
1.0, 0.0, 3.89448816594e-07, 0.0, 0.0
1.0, 0.0, 3.8944881565e-07, 0.0, 0.0
1.0, 0.0, 3.89448814983e-07, 0.0, 0.0
1.0, 0.0, 3.89448813928e-07, 0.0, 0.0
1.0, 0.0, 3.89448813463e-07, 0.0, 0.0
1.0, 0.0, 3.89448813423e-07, 0.0, 0.0
1.0, 0.0, 3.89448812276e-07, 0.0, 0.0
1.0, 0.0, 3.89448811701e-07, 0.0, 0.0
1.0, 0.0, 3.89448811531e-07, 0.0, 0.0
1.0, 0.0, 3.89448810864e-07, 0.0, 0.0
1.0, 0.0, 3.89448810251e-07, 0.0, 0.0
1.0, 0.0, 3.89448809787e-07, 0.0, 0.0
1.0, 1.0, 3.76257270871e-07, 7.01977612963e-08, -6.09873735585
1.0, 1.0, 3.57497974751e-07, 1.46328454466e-07, 0.388508681392
1.0, 1.0, 4.06256420877e-07, 1.68274219398e-07, 0.392693409074
1.0, 1.0, 4.48634813222e-07, 1.85830620153e-07, 0.39269907402
1.0, 1.0, 4.57726607694e-07, 1.8959656876e-07, 0.392699081688
1.0, 1.0, 4.28801292075e-07, 1.77615310741e-07, 0.392699081699
1.0, 1.0, 3.77708794336e-07, 1.56452105241e-07, 0.392699081699
1.0, 1.0, 3.39606902432e-07, 1.40669784863e-07, 0.392699081699
1.0, 1.0, 3.48429616429e-07, 1.44324272657e-07, 0.392699081699
1.0, 1.0, 3.95648871267e-07, 1.63883128417e-07, 0.392699081699
1.0, 1.0, 4.42307688953e-07, 1.83209843506e-07, 0.392699081699
1.0, 1.0, 4.59091281762e-07, 1.90161835273e-07, 0.392699081699
1.0, 1.0, 4.37168015905e-07, 1.81080921224e-07, 0.392699081699
1.0, 1.0, 3.88235675825e-07, 1.60812482324e-07, 0.392699081699
1.0, 1.0, 3.44169759497e-07, 1.42559782142e-07, 0.392699081699
1.0, 1.0, 3.42565363689e-07, 1.41895219639e-07, -5.89048622548
1.0, 1.0, 3.8497902807e-07, 1.59463534656e-07, 0.392699081699
1.0, 1.0, 4.34719198647e-07, 1.80066587903e-07, 0.392699081699
1.0, 1.0, 4.58844536675e-07, 1.90059630112e-07, 0.392699081699
1.0, 1.0, 4.44387395877e-07, 1.8407128632e-07, 0.392699081699
1.0, 1.0, 3.98917816466e-07, 1.65237169853e-07, 0.392699081699
1.0, 1.0, 3.50568943125e-07, 1.45210410789e-07, 0.392699081699
1.0, 1.0, 3.38611993102e-07, 1.40257679925e-07, 0.392699081699
1.0, 1.0, 3.74567741931e-07, 1.55151038735e-07, 0.392699081699
1.0, 1.0, 4.26036716833e-07, 1.76470186181e-07, 0.392699081699
1.0, 1.0, 4.56988153191e-07, 1.89290690895e-07, 0.392699081699
1.0, 1.0, 4.5029750802e-07, 1.86519334925e-07, 0.392699081699
1.0, 1.0, 4.09430192387e-07, 1.69591538532e-07, 0.392699081699
1.0, 1.0, 3.58517745259e-07, 1.48502912438e-07, 0.392699081699
1.0, 1.0, 3.36758375489e-07, 1.3948988637e-07, -5.89048622548
1.0, 1.0, 3.64767424501e-07, 1.5109161434e-07, 0.392699081699
1.0, 1.0, 4.1646671466e-07, 1.72506161489e-07, 0.392699081699
1.0, 1.0, 4.535624336e-07, 1.8787171138e-07, 0.392699081699
1.0, 1.0, 4.54775427222e-07, 1.88374149789e-07, 0.392699081699
1.0, 1.0, 4.1947918595e-07, 1.73753967954e-07, 0.392699081699
1.0, 1.0, 3.67683125357e-07, 1.52299337179e-07, 0.392699081699
1.0, 1.0, 3.37095575483e-07, 1.39629559181e-07, 0.392699081699
1.0, 1.0, 3.55937475457e-07, 1.47434129691e-07, 0.392699081699
1.0, 1.0, 4.06246134896e-07, 1.68272658735e-07, 0.392699081699
1.0, 1.0, 4.48634023303e-07, 1.85830296994e-07, 0.392699081699
1.0, 1.0, 4.57725828021e-07, 1.89596245815e-07, 0.392699081699
1.0, 1.0, 4.28800770516e-07, 1.77615094704e-07, 0.392699081699
1.0, 1.0, 3.77708635217e-07, 1.56452039333e-07, 0.392699081699
1.0, 1.0, 3.3960689837e-07, 1.4066978318e-07, -5.89048622548
1.0, 1.0, 3.48429643751e-07, 1.44324283975e-07, 0.392699081699
1.0, 1.0, 3.95649148318e-07, 1.63883243175e-07, 0.392699081699
1.0, 1.0, 4.42308331579e-07, 1.83210109691e-07, 0.392699081699
1.0, 1.0, 4.59092074303e-07, 1.90162163554e-07, 0.392699081699
1.0, 1.0, 4.37168607913e-07, 1.81081166441e-07, 0.392699081699
1.0, 1.0, 3.88235898542e-07, 1.60812574576e-07, 0.392699081699
1.0, 1.0, 3.44169774005e-07, 1.42559788152e-07, 0.392699081699
1.0, 1.0, 3.42565353376e-07, 1.41895215368e-07, 0.392699081699
1.0, 1.0, 3.84978820381e-07, 1.59463448628e-07, 0.392699081699
1.0, 1.0, 4.34718621254e-07, 1.80066348739e-07, 0.392699081699
1.0, 1.0, 4.58843745844e-07, 1.90059302539e-07, 0.392699081699
1.0, 1.0, 4.44386740153e-07, 1.8407101471e-07, 0.392699081699
1.0, 1.0, 3.98917523094e-07, 1.65237048334e-07, 0.392699081699
1.0, 1.0, 3.50568909709e-07, 1.45210396948e-07, 0.392699081699
1.0, 1.0, 3.38611994731e-07, 1.402576806e-07, -5.89048622548
1.0, 1.0, 3.74567888106e-07, 1.55151099283e-07, 0.392699081699
